song,album
Feeling Good,I Put A Spell On You
Lost Without You,Freya Ridings
Ewondo ou Bami,NYXIA. Tome III
Moon Bounce,"Modern Fire, Vol. 2"
La dot,NAKAMURA
Gracefully Broken,Heart. Passion. Pursuit.
WATER,The Lion King: The Gift
Collabo,Double Trouble
Pookie,NAKAMURA
Vuli Ndlela,Greatest Hits: The Queen Of African Pop
Morose,QALF inifinity
Deux Toiles De Mer,QALF inifinity
Umbrella,Giid Girl Gone Bad
Hollywood's Bleeding,Hollywood's Bleeding
Nothing Else Matters,Metallica
It's been a while,Break the Cycle
Real life,Twice as tall
Hawai,Papi Juancho
You say,Look up Child
Echoes in Rain,Dark Sky Island
I Want it that Way,The Hits- Chapter One
My love,Coast to Coast
All Eyes,Hell and Silence
Battle Cry,Smoke + Mirrors (Super Deluxe Edition)
Bullet in a Gun,Origins
Cover Up,Imagine Dragons
Cover Up,Night Visions (Deluxe Edition)
Drive,Imagine Dragons
It's Time,Continued Silence EP
Rocks,Night Visions (Deluxe Edition)
Thief,Smoke + Mirrors (Super Deluxe Edition)
Underdog,Night Visions (Deluxe Edition)
Uptight,Imagine Dragons
