song,artist
Feeling Good,Nina Simone
Lost Without You,Freya Ridings
Ewondo ou Bami,Tayc
Moon Bounce,Gyom
La dot,Aya Nakamura
Gracefully Broken,Tasha Cobbs Leonard
WATER,Salatiel
Collabo,P-Square
Pookie,Aya Nakamura
Vuli Ndlela,Brenda Fassie
Morose,Damso
Deux Toiles De Mer,Damso
Should I,Riles
Umbrella,RIhanna
Hollywood's Bleeding,Post Malone
Nothing Else Matters,Metallica
It's been a while,Staind
The Buisness,Tiësto
I can't Sleep,Somma
Star Shopping,Lil Peep
You broke me first,Tate McRae
Real life,Burna boy
Holy,Justin Bieber
Hawai,Maluma
You say,Lauren Daigle
Echoes in Rain,Enya
I Want it that Way,Backstreet Boys
My love,Westlife
