title,no of tracks,release year
I Put A Spell On You,12,1965
Freya Ridings,12,2019
NYXIA. Tome III,41,2019
"Modern Fire, Vol. 2",10,2019
NAKAMURA,13,2018
Heart. Passion. Pursuit.,10,2017
The Lion King: The Gift,27,2019
Double Trouble,16,2014
NAKAMURA,13,2018
Greatest Hits: The Queen Of African Pop,20,2004
QALF inifinity,25,2021
QALF inifinity,25,2021
Giid Girl Gone Bad,15,2007
Hollywood's Bleeding,17,2021
Metallica,12,1991
Break the Cycle,14,2001
Twice as tall,15,2020
Papi Juancho,22,2020
Look up Child,13,2018
Dark Sky Island,14,2015
The Hits- Chapter One,13,2001
Coast to Coast,19,2000
Hell and Silence,5,2010
Smoke + Mirrors (Super Deluxe Edition),21,2015
Origins,11,2017
Imagine Dragons,5,2009
