title,name
Feeling Good,Jazz
Lost Without You,Pop
Ewondo ou Bami,"Hip-Hop, Rap"
Moon Bounce,Pop
La dot,"R&B, Soul"
Gracefully Broken,Gospel
WATER,"Hip-Hop, Rap"
Collabo,"Afropop, Dance-pop"
Pookie,"Pop, Urban"
Vuli Ndlela,Pop
Morose,Rap
Deux Toiles De Mer,Rap
Should I,"Hip-Hop, Rap"
Umbrella,"Pop, R&B"
Hollywood's Bleeding,"Hip-Hop, Pop"
Nothing Else Matters,Rock
It's been a while,Rock
The Buisness,House
I can't Sleep,House
Star Shopping,"Rap,Hip-Hop"
You broke me first,Pop
Real life,Pop
Holy,Pop
Hawai,Latino Urbano
You say,Gospel
Echoes in Rain,New Age
I Want it that Way,Pop
My love,Pop
